FEATURE1,FEATURE2,FEATURE3,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15
F6,!F10,!F3,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N
!F8,!F10,F1,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N
!F8,!F10,F0,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,N,Y,N
!F9,!F10,F2,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
F6,!F10,!F4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
!F8,!F10,F2,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,Y,N
!F9,!F10,F1,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N
!F10,!F3,!F4,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N
F6,!F9,!F10,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N
F6,!F8,!F10,N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N
!F8,!F10,!F3,N,N,Y,N,N,N,N,Y,N,Y,N,Y,Y,N,N,N
!F9,!F10,!F4,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N
!F8,!F10,!F4,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N
!F9,!F10,!F3,N,N,Y,N,N,N,N,Y,N,Y,N,Y,Y,N,N,N
!F8,!F9,!F10,N,N,Y,N,N,N,N,Y,N,Y,N,Y,Y,N,N,N
F8,!F3,F4,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N
F6,F7,!F3,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,N,N,N
F6,F8,!F3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
F7,F8,!F3,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,Y
F10,F0,!F3,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,Y
F10,F2,!F3,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,Y
F10,F1,!F3,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
F10,!F3,F4,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N
